year,gdp,population
2084,87k,392000000
2085,87.2k,392000000
2086,87.3k,392000000
2087,87.5k,393000000
2088,87.6k,393000000
2089,87.7k,393000000
2090,87.9k,393000000
2091,88k,393000000
2092,88.2k,393000000
2093,88.3k,393000000
2094,88.4k,393000000
2095,88.5k,393000000
2096,88.7k,394000000
2097,88.8k,394000000
2098,88.9k,394000000
2099,89k,394000000
2100,89.1k,394000000
