year,gdp,life_expectancy
2089,87.7k,88.2
2090,87.9k,88.3
2091,88k,88.4
2092,88.2k,88.5
2093,88.3k,88.6
2094,88.4k,88.7
2095,88.5k,88.8
2096,88.7k,89
2097,88.8k,89.1
2098,88.9k,89.2
2099,89k,89.3
2100,89.1k,89.4
